16,,"تحديث تصاميم وتنفيذ محطة معالجة لقضاء الهلال + المجد بطاقة 20,000 م3 / يوم",مدرج,مؤشر,30.3,اعلان,تصميم و تنفيذ,,✅,,,,,,,,,,,,
17,,"تحديث تصاميم وتنفيذ محطة معالجة لقضاء الوركاء بطاقة 12,500 م3 / يوم",مدرج,مؤشر,33.6,اعلان,تصميم و تنفيذ,,✅,,,,,,,,,,,,
18,,"تحديث تصاميم وتنفيذ محطة معالجة لقضاء النجمي بطاقة 12,500 م3 / يوم",مدرج,مؤشر,49.4,اعلان,تصميم وتنفيذ,,✅,,,,,,,,,,,,
19,بابل,تنفيذ شبكات امطار وخطوط ناقلة لمحطة رفع مع اعمال المدن (القاسم / الهاشمية / المدحتية ) محافظة بابل (البنى التحتية),مدرج,مؤشر,327.4,دعوى,جداول كميات,,✅,✅,✅,✅,✅,9\3\2025,9\3\2025,✅,,,,,
20,,مشروع تنفيذ شبكات امطار وصرف صحي وخطوط ناقلة ومحطات رفع ومحطة معالجة ناحية الكفل/ محافظة بابل (البنى التحتية),مدرج,مؤشر,133.6,دعوى,جداول كميات,,✅,✅,✅,✅,✅,"Tue, 04 Feb 2025 00:00:00 GMT","Tue, 04 Feb 2025 00:00:00 GMT",✅,✅,✅,,,
21,بغداد,مشروع مجاري ذات السلاسل / محافظة بغداد (البنى التحتية),مدرج,مؤشر,503.6,دعوى,تصميم وتنفيذ,,✅,,,,,,,,,,,,
22,ديالى,مشروع مجاري مركز قضاء المقدادية / محافظة ديالى (البنى التحتية),غير مدرج,غير مؤشر,267.2,اعلان,جداول كميات,,,,,,,,,,,,,,
23,,مشروع مجاري جلولاء / محافظة ديالى (البنى التحتية),غير مدرج,غير مؤشر,44.1,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
24,,مشروع مجاري مركز قضاء خانقين / محافظة ديالى (البنى التحتية),غير مدرج,غير مؤشر,40,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
25,,مشروع مجاري بهرز (أشنونا) / محافظة ديالى (البنى التحتية),غير مدرج,غير مؤشر,28.5,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
26,,مشروع مجاري بني سعد / محافظة ديالى (البنى التحتية),غير مدرج,غير مؤشر,21.3,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
27,,مشروع مجاري كنعان / محافظة ديالى (البنى التحتية),غير مدرج,غير مؤشر,17.5,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
28,,مشروع مجاري مركز قضاء بلدروز / محافظة ديالى (البنى التحتية),غير مدرج,غير مؤشر,45.4,اعلان,جداول كميات,,,,,,,,,,,,,,
29,ذي قار,تنفيذ البنى التحتية لقضاء سوق الشيوخ / محافظة ذي قار ( البنى التحتية),مدرج,مؤشر,467.1,دعوى,جداول كميات,,✅,✅,✅,✅,✅,9\2\2025,9\2\2025,✅,✅,,,,
30,,مشروع مجاري البطحاء,مدرج,مؤشر,76.5,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
31,,البنى التحتية لقضاء النصر / ذي قار,مدرج,مؤشر,36.4,اعلان,جداول كميات,,,,,,,,,,,,,,
32,,البنى التحتية لقضاء الرفاعي / ذي قار,مدرج,مؤشر,18,اعلان,جداول كميات,,,,,,,,,,,,,,
33,,مشروع مجاري قضاء الغراف,غير مدرج,غير مؤشر,142.4,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
34,,تنفيذ شبكات ومحطات وخطوط ناقلة لطريق الصدرين وطريق يا حسين,غير مدرج,غير مؤشر,46.9,اعلان,تصميم و تنفيذ,,,,,,,,,,,,,,
